code,product_name,brands,categories
50545632329080,Pasta za zube Sensodyne Whitening 75ml,Sensodyne,Lična higijena i kozmetika
50545632342090,Sensodyne Extra Whit.  Duo 2x 75ml,Sensodyne,Lična higijena i kozmetika
50545632343080,Zubna pasta AQF White Renewal 75ml,Aquafresh,Lična higijena i kozmetika
50545632457240,Pasta Compl.Protec.White Sensodyne 75ml,Sensodyne,Lična higijena i kozmetika
50545632477970,Cetikica/zube Aquafresh In-between 2+1,Aquafresh,Lična higijena i kozmetika
50545632633910,Cetkica za zube compl.protec.Parodontax,Paradontax,Lična higijena i kozmetika
50545639278590,Aquafresh TB Extreme Clean Med,Aquafresh,Lična higijena i kozmetika
50545639482670,Pasta za zube Parodontax Wh.Com.Prot75ml,Paradontax,Lična higijena i kozmetika
50545639483420,Pasta/zube complete prot.Parodontax 75ml,Paradontax,Lična higijena i kozmetika
50545639497760,Pasta/zube Parodontax Ultra Clean 75ml,Paradontax,Lična higijena i kozmetika
50545639498750,Pasta za zube Paradontax Whitening 75ml,Paradontax,Lična higijena i kozmetika
50545639499120,Pasta za zube Paradontax ExtraFresh 75ml,Paradontax,Lična higijena i kozmetika
50545639499360,Pasta za zube Paradontax Fluoride 75ml,Paradontax,Lična higijena i kozmetika
50545639501780,Pasta za zube Parodontax Herbal 75ml,Paradontax,Lična higijena i kozmetika
50563579108180,Krem Snickers 200g,Mars,Slatki konditori i cerealije
50563579113340,Cookies Mars Secret Centre 132g,Mars,Slatki konditori i cerealije
50563579117470,Cookies TWIX secret centre 132g,Mars,Slatki konditori i cerealije
50563579120890,Cookies Bounty Secret Centre 132g,Mars,Slatki konditori i cerealije
50600338201170,Pena za cisc.kupatila Pink Stuff 750ml,Pink Stuff,Kućna hemija
50600338201860,The Pink Stuff sredstvo za fleke 500ml,Pink Stuff,Kućna hemija
50600338206810,The Pink Stuff WC gel 750ml,Pink Stuff,Kućna hemija
50600338211140,Pasta za ciscenje Pink Stuff 850g,Pink Stuff,Kućna hemija
50600338215270,The Pink Stuff sredstvo za podove 1l,Pink Stuff,Kućna hemija
50600338234530,The Pink Stuff dual scrubber i sundjer,Pink Stuff,Kućna hemija
50600338236820,Visenamenski cistac Pink Stuff 750ml,Pink Stuff,Kućna hemija
50601220393830,Krem Bounty 200g,Mars,Slatki konditori i cerealije
50604029052850,Krem Milkyway 200g,Mars,Slatki konditori i cerealije
50604029079060,Krem Mars 200g,Mars,Slatki konditori i cerealije
50609475455400,"Ener.nap.Monster Full throttle  0,5l",Monster,"Bezalkoholna pića, kafa, čaj"
52001083892420,Sir Feta Farma Parnasos 150g,Parnasos,"Mleko, mlečni, mešoviti jaja"
52001083894570,Sir Feta Farma Parnasos 300g,Parnasos,"Mleko, mlečni, mešoviti jaja"
52003556002060,Paprika Silja 500g EC,Maxi pijaca pakovan,Sveže voće i povrće
52003556007010,Paprika babura 500g,Maxi pijaca,Sveže voće i povrće
52003556202040,Paprika silja crvena 500g,Maxi pijaca,Sveže voće i povrće
52007010007280,Bombone Paw Patrol u posudi 10g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010008100,Flipperz Paw Patrol Relkon 10g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010012130,Lizalica penasta Paw Patrol 45g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010018480,Flipperz Hello Kitty Relkon 10g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010020290,Bombone Pepa Pig projektor 8g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010023020,Bombone dinosaurus projektor Relkon 8g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010023640,Bombone Paw Patrol projektor 8g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010025790,Coko lizalica Hello kitty Relkon 30g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010025930,Coko lizalica Paw Patrol Relkon 30g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010029990,Lizalica crveno belo zelena Relkon 28g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010030020,Lizalica crveno bela Relkon 50g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010031870,Kornet coko Pepa Pig Crunchiez 25g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010032000,Kornet coko Paw Patrol Crunchiez 25g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010033090,Bom.pen.kisela hot dog Display,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010033160,Bombona penasta kisela hot dog 50g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010035450,Lizalica penasta Minions 45g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010052040,Lizalica penasta Peppa Pig 45g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010057780,Flipperz Sundjer Bob Relkon 10g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010059210,Bombone Pepa Pig u posudi 10g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010066070,Bombone Little Pony u posudi 10g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010073520,Lizalica Hello Kitty 3D Yammiez Pop 15g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52007010074200,Lizalica Patrolne sape 3D Yammiez Pop15g,RM NIJE DEFINISANA,Slatki konditori i cerealije
52010040213280,Roler Caprice lesnik i kakao krem 115g,Posebna ponuda,Slatki konditori i cerealije
52010040233600,Roler Caprice lenik i kakao krem 250g,Posebna ponuda,Slatki konditori i cerealije
52010045440180,Keks sendvic cokolada Biscotello 200g,Papadopoulos,Slatki konditori i cerealije
52010045440320,Sendvic keks limun Biscotello 200g,Papadopoulos,Slatki konditori i cerealije
52010045440940,Sendvic keks vanila Biscotello 200g,Papadopoulos,Slatki konditori i cerealije
52011060070080,Ulje maslinovo pulpa Minerva pvc 1l,Minerva,Ulja i masti
52011060084010,Ulje masl.od komine pulpa Minerva pet 2l,Minerva,Ulja i masti
52011061903660,Ulje masl.Ex.verg.Minerva 0.75l,Minerva,Ulja i masti
52011061909220,Ulje masl.ex.virg.Minerva limenka 750ml,Minerva,Ulja i masti
52011062731510,Margarin od maslinovog ulja Minerva 225g,Minerva,"Mleko, mlečni, mešoviti jaja"
